country,latitude,longitude,scientific_name,vernacular_name,date,count
Tanzania,-6.21282567561,39.3127439171,Egretta dimorpha,Dimorphic Egret,2014-10-21,1
Tanzania,-5.65552766592,37.5549314171,Polyboroides typus,African Harrier-Hawk,2014-10-12,1
Tanzania,-4.08514220171,35.9756469168,Calidris minuta,Little Stint,2014-10-09,7
Tanzania,-4.08514220171,35.9756469168,Actitis hypoleucos,Common Sandpiper,2014-10-09,1
Tanzania,-3.96733067321,35.9509276785,Urolestes melanoleucus,Magpie Shrike,2014-10-09,1
Tanzania,-3.51237017305,35.7394408621,Circaetus cinereus,Brown Snake Eagle,2014-10-08,1
Tanzania,-3.98103056095,35.9701537527,Torgos tracheliotos,Lappet-faced Vulture,2014-10-09,1
Tanzania,-3.98103056095,35.9701537527,Bucorvus leadbeateri,Southern Ground Hornbill,2014-10-09,2
Tanzania,-3.98103056095,35.9701537527,Dinemellia dinemelli,White-headed Buffalo Weaver,2014-10-09,6
Tanzania,-3.47673099815,35.7751464285,Milvus aegyptius,Yellow-billed Kite,2014-10-08,1
Tanzania,-3.96915735198,35.9564208426,Agapornis personatus,Yellow-collared Lovebird,2014-10-09,1
Tanzania,-3.96915735198,35.9564208426,Tockus deckeni,Von der Decken's Hornbill,2014-10-09,1
Tanzania,-3.7042496893,36.2420653738,Vanellus coronatus,Crowned Lapwing,2014-10-08,1
Tanzania,-3.7042496893,36.2420653738,Balearica regulorum,Grey Crowned Crane,2014-10-08,9
Tanzania,-3.23419534171,35.5336761405,Halcyon leucocephala,Grey-headed Kingfisher,2014-10-07,1
Tanzania,-3.21442840217,35.5113601615,Actophilornis africanus,African Jacana,2014-10-07,1
Tanzania,-3.21442840217,35.5113601615,Alopochen aegyptiaca,Egyptian Goose,2014-10-07,12
Tanzania,-3.21442840217,35.5113601615,Ardea cinerea,Grey Heron,2014-10-07,15
Tanzania,-3.21442840217,35.5113601615,Ardea melanocephala,Black-headed Heron,2014-10-07,4
Tanzania,-3.21442840217,35.5113601615,Plegadis falcinellus,Glossy Ibis,2014-10-07,1
Tanzania,-3.19774617795,35.5113601615,Vanellus armatus,Blacksmith Lapwing,2014-10-07,1
Tanzania,-3.41052082912,36.6540525109,Corvus albus,Pied Crow,2014-10-06,2
Tanzania,-3.47631978575,36.5551755577,Leptoptilos crumenifer,Marabou Stork,2014-10-06,2
Tanzania,-2.63158161913,35.7202146202,Trachyphonus erythrocephalus,Red-and-yellow Barbet,2014-10-07,1
Tanzania,-2.63158161913,35.7202146202,Lamprotornis superbus,Superb Starling,2014-10-07,1
Tanzania,-2.63158161913,35.7202146202,Bycanistes brevis,Silvery-cheeked Hornbill,2014-10-07,1
