country,latitude,longitude,scientific_name,vernacular_name,date,count
Thailand,12.8119660887,99.9862879515,Ardea alba,Great Egret,2015-01-23,1
Thailand,12.5609253744,99.9513280392,Coracias affinis,Indochinese Roller,2015-01-07,1
Thailand,16.092623,99.11447,Hydrornis oatesi,Rusty-naped Pitta,2014-01-11,1
Thailand,13.1100741318,99.9392232299,Macaca fascicularis fascicularis,Common Long-tailed Macaque,2014-01-01,1
Thailand,13.145738,100.063038,Hirundo rustica,Barn Swallow,2014-01-01,2
Thailand,13.145742,100.063036,Egretta garzetta,Little Egret,2014-01-01,1
Thailand,13.145768,100.063027,Hydroprogne caspia,Caspian Tern,2014-01-01,2
Thailand,13.145772,100.06302,Phalaropus lobatus,Red-necked Phalarope,2014-01-01,1
Thailand,13.145772,100.06302,Calidris ruficollis,Red-necked Stint,2014-01-01,9
Thailand,13.145782,100.063009,Calidris pygmaea,Spoon-billed Sandpiper,2014-01-01,2
Thailand,13.145768,100.063027,Tringa erythropus,Spotted Redshank,2014-01-01,2
Thailand,13.145768,100.063027,Pluvialis squatarola,Grey Plover,2014-01-01,2
Thailand,13.145768,100.063027,Ardea cinerea,Grey Heron,2014-01-01,1
Thailand,13.145768,100.063027,Chlidonias hybrida,Whiskered Tern,2014-01-01,25
Thailand,13.145842,100.063032,Ardea alba,Great Egret,2014-01-01,1
Thailand,13.145842,100.063025,Ardea intermedia,Intermediate Egret,2014-01-01,4
Thailand,13.145767,100.063025,Todiramphus chloris,Collared Kingfisher,2014-01-01,1
Thailand,13.145767,100.063025,Haliastur indus,Brahminy Kite,2014-01-01,1
Thailand,13.145808,100.06307,Calidris ferruginea,Curlew Sandpiper,2014-01-01,11
Thailand,13.145813,100.063063,Microcarbo niger,Little Cormorant,2014-01-01,4
Thailand,13.145804,100.063041,Tringa stagnatilis,Marsh Sandpiper,2014-01-01,3
Thailand,13.145804,100.063041,Tringa nebularia,Common Greenshank,2014-01-01,2
Thailand,13.145811,100.063018,Charadrius alexandrinus,Kentish Plover,2014-01-01,1
Thailand,13.145826,100.063009,Charadrius dubius,Little Ringed Plover,2014-01-01,1
