country,latitude,longitude,scientific_name,vernacular_name,date,count
The Gambia,13.0858000514,-16.766674519,Rhyothemis semihyalina,Phantom Flutterer,2014-12-03,1
The Gambia,13.4608349461,-16.7078107597,Actitis hypoleucos,Common Sandpiper,2014-12-01,1
The Gambia,13.091118465,-16.763062478,Diplacodes lefebvrii,Black Percher,2014-12-03,51
The Gambia,13.0860188097,-16.7666244516,Orthetrum trinacria,Long Skimmer,2014-12-03,1
The Gambia,13.2354950682,-16.5350961687,Pycnonotus barbatus inornatus,Common Bulbul ssp inornatus,2014-12-04,15
The Gambia,13.2354950682,-16.5350961687,Ploceus luteolus,Little Weaver,2014-12-04,1
The Gambia,13.0908857778,-16.7632412915,Acraea serena,Small Orange Acraea,2014-12-03,25
The Gambia,13.0908857778,-16.7632412915,Ceriagrion glabrum,Common Orange,2014-12-03,15
The Gambia,13.17690304,-16.66410408,Indicator indicator,Greater Honeyguide,2015-03-05,1
The Gambia,13.17696063,-16.66408986,Lophoceros nasutus,African Grey Hornbill,2015-03-05,1
The Gambia,13.17696063,-16.66408986,Tockus kempi,Western Red-billed Hornbill,2015-03-05,1
The Gambia,13.17696063,-16.66408986,Streptopelia semitorquata,Red-eyed Dove,2015-03-05,1
The Gambia,13.17696063,-16.66408986,Turtur abyssinicus,Black-billed Wood Dove,2015-03-05,1
The Gambia,13.17696063,-16.66408986,Laniarius barbarus,Yellow-crowned Gonolek,2015-03-05,1
The Gambia,13.17696063,-16.66408986,Pycnonotus barbatus,Common Bulbul,2015-03-05,1
The Gambia,13.17613127,-16.66478884,Sylvietta brachyura,Northern Crombec,2015-03-05,1
The Gambia,13.17614716,-16.66470616,Camaroptera brevicaudata,Grey-backed Camaroptera,2015-03-05,1
The Gambia,13.17615324,-16.66470147,Eremomela pusilla,Senegal Eremomela,2015-03-05,2
The Gambia,13.23120696,-16.05473718,Halcyon chelicuti,Striped Kingfisher,2015-03-06,1
The Gambia,13.22983231,-16.05439091,Terathopius ecaudatus,Bateleur,2015-03-06,4
The Gambia,13.2298337,-16.05444652,Polyboroides typus,African Harrier-Hawk,2015-03-06,1
The Gambia,13.22635834,-16.05481588,Indicator indicator,Greater Honeyguide,2015-03-06,1
The Gambia,13.22707932,-16.05529227,Hedydipna platura,Pygmy Sunbird,2015-03-06,1
The Gambia,13.26496474,-16.529422,Threskiornis aethiopicus,African Sacred Ibis,2015-03-07,2
The Gambia,13.26491588,-16.52916861,Vanellus spinosus,Spur-winged Lapwing,2015-03-07,44
The Gambia,13.26891605,-16.52121417,Indicator indicator,Greater Honeyguide,2015-03-07,1
The Gambia,13.26891454,-16.52121267,Falco ardosiaceus,Grey Kestrel,2015-03-07,1
The Gambia,13.26891838,-16.52121514,Elanus caeruleus,Black-winged Kite,2015-03-07,1
The Gambia,13.26891838,-16.52121511,Melierax metabates,Dark Chanting Goshawk,2015-03-07,1
The Gambia,13.26891854,-16.52121494,Coracias cyanogaster,Blue-bellied Roller,2015-03-07,2
The Gambia,13.27508153,-16.55313799,Treron calvus,African Green Pigeon,2015-03-07,4
The Gambia,13.3405022,-16.60393005,Lanius senator,Woodchat Shrike,2015-03-08,1
The Gambia,13.3405022,-16.60393005,Chalcomitra senegalensis,Scarlet-chested Sunbird,2015-03-08,1
The Gambia,13.4295428301,-16.7295438051,Turdoides plebejus,Brown Babbler,2003-12-19,1
The Gambia,13.4380051533,-15.8074942231,Melaniparus guineensis,White-shouldered Black Tit,2003-12-18,1
The Gambia,13.3890351077,-16.6534280777,Ardea melanocephala,Black-headed Heron,2003-12-10,1
