country,latitude,longitude,scientific_name,vernacular_name,date,count
Turkey,36.7926934803113,31.3711981593587,Streptopelia decaocto,Eurasian Collared Dove,2015-02-27,1
Turkey,36.7916749725989,31.370262844415,Phoenicurus ochruros,Black Redstart,2015-02-27,1
Turkey,36.7916830191565,31.3702288599294,Corvus cornix,Hooded Crow,2015-02-27,20
Turkey,36.7897062583257,31.3719143739198,Motacilla alba,White Wagtail,2015-02-27,1
Turkey,36.7805440118724,31.3909563591598,Sylvia atricapilla,Eurasian Blackcap,2015-02-27,2
Turkey,36.7685788944312,31.3906514896795,Phoenicurus ochruros,Black Redstart,2015-02-28,1
Turkey,36.7706268779846,31.3938859740568,Galerida cristata,Crested Lark,2015-02-28,1
Turkey,36.7707010362233,31.45944496874,Motacilla flava,Western Yellow Wagtail,2015-02-28,1
Turkey,36.7707010362233,31.45944496874,Ardea cinerea,Grey Heron,2015-02-28,12
Turkey,36.7593574106684,31.4736324922284,Tachybaptus ruficollis,Little Grebe,2015-02-28,1
Turkey,36.7528854790268,31.4791829487661,Corvus corax,Northern Raven,2015-02-28,4
Turkey,36.753686834651,31.479792365611,Galerida cristata,Crested Lark,2015-02-28,20
Turkey,36.7413394455584,31.4897992594555,Circus aeruginosus,Western Marsh Harrier,2015-02-28,1
Turkey,36.7393916606607,31.4975784421994,Phylloscopus collybita,Common Chiffchaff,2015-02-28,1
Turkey,36.9657895949453,30.8514440341075,Monticola solitarius,Blue Rock Thrush,2015-03-02,1
Turkey,36.5315433603908,31.9901927533538,Fringilla coelebs,Common Chaffinch,2015-03-03,10
Turkey,36.7674848279741,31.4869211480435,Emberiza calandra,Corn Bunting,2015-03-03,1
Turkey,36.8253037378321,31.4485200410019,Alcedo atthis,Common Kingfisher,2015-03-04,1
Turkey,36.8253037378321,31.4485200410019,Cettia cetti,Cetti's Warbler,2015-03-04,1
Turkey,36.8385741442081,31.4536994231106,Galerida cristata,Crested Lark,2015-03-04,2
Turkey,36.7460086648886,31.4820709677379,Oenanthe oenanthe,Northern Wheatear,2015-03-05,1
Turkey,36.7459660686702,31.4820686327488,Corvus cornix,Hooded Crow,2015-03-05,10
Turkey,36.741658590203,31.4914331730126,Circus aeruginosus,Western Marsh Harrier,2015-03-05,1
Turkey,36.7416560175594,31.4914477900059,Galerida cristata,Crested Lark,2015-03-05,10
Turkey,36.8050848014934,31.3661933954633,Emberiza calandra,Corn Bunting,2015-03-07,1
Turkey,36.8026603257438,31.3696472178686,Galerida cristata,Crested Lark,2015-03-07,9
Turkey,36.800529447389,31.3696588125956,Pycnonotus xanthopygos,White-spectacled Bulbul,2015-03-07,1
Turkey,36.798712585035,31.3769571304955,Prinia gracilis,Graceful Prinia,2015-03-07,2
Turkey,36.7946039914383,31.3816398685739,Cettia cetti,Cetti's Warbler,2015-03-07,1
