country,latitude,longitude,scientific_name,vernacular_name,date,count
Uganda,0.829801666667,30.2323266667,Prinia subflava,Tawny-flanked Prinia,2014-08-07,1
Uganda,0.815707306496,30.1121520996,Amauris tartarea,Monk,2015-01-23,1
Uganda,0.256804560089,29.9583435059,Chamaeleo johnstoni,Johnston's Chameleon,2015-01-21,1
Uganda,0.811587848857,30.099105835,Tirumala petiverana,African blue tiger,2015-01-23,1
Uganda,0.817080458106,30.1224517822,Aterica galene,Forest Glade Nymph,2015-01-23,2
Uganda,0.815020730515,30.1203918457,Bicyclus safitza,Common Bush Brown,2015-01-23,1
Uganda,0.817080458106,30.1272583008,Junonia terea,Soldier Commodore,2015-01-23,1
Uganda,0.817080458106,30.1272583008,Zizula hylax,Tiny Grass Blue,2015-01-23,1
Uganda,0.236441417998,29.975348711,Acraea cabira,Yellow-banded Acraea,2015-01-14,1
Uganda,1.34020980028,34.0507507324,Junonia oenone,Dark Blue Pansy,2015-01-11,1
Uganda,1.32716706993,34.6354293823,Lampides boeticus,Long-tailed Blue,2015-01-05,1
