country,latitude,longitude,scientific_name,vernacular_name,date,count
Vietnam,20.6511170911,105.070910677,Orthotomus sutorius,Common Tailorbird,2014-11-15,1
Vietnam,11.4251447811,107.427835035,Hydrornis soror,Blue-rumped Pitta,2015-02-21,2
Vietnam,11.4251447811,107.427835035,Hydrornis elliotii,Bar-bellied Pitta,2015-02-21,2
Vietnam,11.4371621669,107.417625901,Hydrornis elliotii,Bar-bellied Pitta,2015-02-21,1
Vietnam,11.4251447811,107.427835035,Hydrornis elliotii,Bar-bellied Pitta,2015-02-20,2
Vietnam,21.0646378254,105.842285156,Orthotomus sutorius,Common Tailorbird,2015-03-02,1
Vietnam,21.0646378254,105.842285156,Zosterops simplex,Swinhoe's White-eye,2015-03-02,10
Vietnam,21.0646378254,105.842285156,Passer montanus,Eurasian Tree Sparrow,2015-03-02,6
Vietnam,21.0646378254,105.842285156,Pycnonotus jocosus,Red-whiskered Bulbul,2015-03-02,1
Vietnam,21.0646378254,105.842285156,Rhipidura albicollis,White-throated Fantail,2015-03-02,1
Vietnam,21.0646378254,105.842285156,Phylloscopus inornatus,Yellow-browed Warbler,2015-03-02,2
Vietnam,21.0627105246,105.831073523,Amaurornis phoenicurus,White-breasted Waterhen,2015-03-01,2
Vietnam,22.33864172,103.84575069,Phoenicurus fuliginosus,Plumbeous Water Redstart,2015-03-01,2
Vietnam,22.33864172,103.84575069,Prinia superciliaris,Hill Prinia,2015-03-01,25
Vietnam,22.33864172,103.84575069,Pycnonotus xanthorrhous,Brown-breasted Bulbul,2015-03-01,25
Vietnam,22.3403882759,103.842317462,Phylloscopus inornatus,Yellow-browed Warbler,2015-03-01,10
Vietnam,22.3403882759,103.842317462,Copsychus saularis,Oriental Magpie-Robin,2015-03-01,1
Vietnam,22.3403882759,103.842317462,Palpopleura sexmaculata,Asian Widow,2015-03-01,20
Vietnam,22.3548362176,103.775884509,Phylloscopus inornatus,Yellow-browed Warbler,2015-02-28,20
Vietnam,22.3548362176,103.775884509,Prinia superciliaris,Hill Prinia,2015-02-28,10
Vietnam,22.3548362176,103.775884509,Pycnonotus xanthorrhous,Brown-breasted Bulbul,2015-02-28,15
Vietnam,22.3548362176,103.775884509,Phoenicurus fuliginosus,Plumbeous Water Redstart,2015-02-28,2
Vietnam,10.271484875,106.766369241,Tringa nebularia,Common Greenshank,2015-02-23,15
Vietnam,10.271484875,106.766369241,Calidris ferruginea,Curlew Sandpiper,2015-02-23,1
Vietnam,10.271484875,106.766369241,Charadrius mongolus,Lesser Sand Plover,2015-02-23,20
Vietnam,10.271484875,106.766369241,Charadrius leschenaultii,Greater Sand Plover,2015-02-23,1
Vietnam,21.0668804713,105.840568542,Rhipidura albicollis,White-throated Fantail,2015-02-27,1
Vietnam,21.0668804713,105.840568542,Orthotomus sutorius,Common Tailorbird,2015-02-27,3
Vietnam,21.0668804713,105.840568542,Passer montanus,Eurasian Tree Sparrow,2015-02-27,10
Vietnam,21.0668804713,105.840568542,Zosterops simplex,Swinhoe's White-eye,2015-02-27,6
Vietnam,21.0668804713,105.840568542,Pycnonotus jocosus,Red-whiskered Bulbul,2015-02-27,6
Vietnam,21.0668804713,105.840568542,Phylloscopus inornatus,Yellow-browed Warbler,2015-02-27,3
Vietnam,21.0668804713,105.840568542,Amaurornis phoenicurus,White-breasted Waterhen,2015-02-27,1
Vietnam,21.0665600954,105.841941833,Orthotomus sutorius,Common Tailorbird,2015-02-26,2
Vietnam,21.0665600954,105.841941833,Phylloscopus inornatus,Yellow-browed Warbler,2015-02-26,5
