country,latitude,longitude,scientific_name,vernacular_name,date,count
Zambia,-17.8735524882,25.8091753721,Lagonosticta senegala,Red-billed Firefinch,2014-11-20,1
Zambia,-17.8634228663,25.7959574461,Plocepasser mahali,White-browed Sparrow-Weaver,2014-11-20,1
Zambia,-17.8634228663,25.7959574461,Lamprotornis mevesii,Meves's Starling,2014-11-20,1
Zambia,-17.8634228663,25.7959574461,Laniarius major,Tropical Boubou,2014-11-20,1
Zambia,-17.8634228663,25.7959574461,Cichladusa arquata,Collared Palm Thrush,2014-11-20,1
Zambia,-17.8634228663,25.7959574461,Corvus albus,Pied Crow,2014-11-20,1
Zambia,-17.8634228663,25.7959574461,Campephaga flava,Black Cuckooshrike,2014-11-20,1
Zambia,-17.8634228663,25.7959574461,Lybius torquatus,Black-collared Barbet,2014-11-20,1
Zambia,-17.8634228663,25.7959574461,Trachyphonus vaillantii,Crested Barbet,2014-11-20,1
Zambia,-17.8634228663,25.7959574461,Merops bullockoides,White-fronted Bee-eater,2014-11-20,1
Zambia,-17.8634228663,25.7959574461,Halcyon albiventris,Brown-hooded Kingfisher,2014-11-20,1
Zambia,-17.8634228663,25.7959574461,Glaucidium perlatum,Pearl-spotted Owlet,2014-11-20,1
Zambia,-17.8634228663,25.7959574461,Vanellus senegallus,African Wattled Lapwing,2014-11-20,1
Zambia,-17.8634228663,25.7959574461,Glareola nuchalis,Rock Pratincole,2014-11-20,1
Zambia,-17.874696119,25.8139818907,Elanus caeruleus,Black-winged Kite,2014-11-20,1
Zambia,-17.874696119,25.8139818907,Necrosyrtes monachus,Hooded Vulture,2014-11-20,1
